,site_id,village,edu_age_15up_total,EducationWeight,Merriage/NoMerriage,ordinary/single,FamilyWeight,18-38,39-59,60-80,81-100,Total_Ratio,18-59/60-100,Agree_x,Useful_x,Agree_y,Useful_y
2858,新北市淡水區,新義里,3946,3.8053725291434364,3.021978021978022,2.6824644549763033,3.631917631917632,1429.0,1357.0,880.0,86.0,0.9544658493870403,1.8995202558635393,932,1975,1462,1990
2859,新北市淡水區,新興里,6536,4.128212974296206,3.077962577962578,1.5108695652173914,3.3302411873840447,2198.0,2899.0,1160.0,99.0,0.8685171658144631,1.86784140969163,1166,3191,2221,3209
2860,新北市淡水區,樹興里,1332,3.9331831831831834,3.490304709141274,0.9505813953488372,3.34575260804769,378.0,514.0,365.0,58.0,1.0593220338983051,2.0783269961977187,276,641,465,638
2861,新北市淡水區,正德里,4163,4.167907758827768,3.1498316498316496,1.6640625,3.281524926686217,1428.0,1864.0,677.0,53.0,0.8276515151515151,1.839632023868722,868,2181,1507,2178
2862,新北市淡水區,民安里,680,4.004411764705883,3.4331550802139037,1.7735849056603774,3.5850340136054424,202.0,232.0,186.0,45.0,0.9468354430379747,2.1112781954887216,201,379,253,363
2863,新北市淡水區,民權里,4034,4.200049578582052,3.1417785234899327,1.088088088088088,3.295302013422819,1213.0,1735.0,878.0,86.0,0.8576763485477178,1.9583333333333333,1021,1946,1292,1947
2864,新北市淡水區,民生里,6574,4.151049589291147,2.976983349657199,0.9701492537313433,3.3187645687645686,2027.0,2651.0,1588.0,172.0,0.8299251870324189,1.9852438645542094,1490,3319,2254,3334
2865,新北市淡水區,水源里,2124,3.6412429378531073,3.3793103448275863,1.6283185840707965,3.6195286195286194,647.0,800.0,483.0,105.0,1.1245421245421245,2.0226044226044224,512,938,666,916
2866,新北市淡水區,水碓里,5360,3.930783582089552,3.0080545229244113,2.038157894736842,3.5283672585534864,1877.0,1998.0,1059.0,113.0,0.9410076530612245,1.8827025956013472,1105,2586,1831,2618
2867,新北市淡水區,永吉里,878,3.9020501138952164,2.9388489208633093,1.4181818181818182,3.4862155388471177,257.0,336.0,206.0,39.0,0.9774127310061602,2.032219570405728,229,480,333,479
2868,新北市淡水區,沙崙里,3810,3.9186351706036744,3.115929203539823,1.389920424403183,3.3795782463928967,1330.0,1549.0,841.0,107.0,0.9466903598400711,1.9281421478965246,746,1809,1292,1805
